sku_id,recommended_model_key,recommended_model,fold_count,backtest_rows,actual_total,forecast_total,absolute_error,bias,recommended_horizon_wmape_percent,recommended_mean_rolling_3m_wmape_percent,median_rolling_3m_wmape_percent,valid_rolling_3m_windows,actual_positive_months,forecast_positive_months_gt_0,forecast_positive_months_gt_1,wmape_valid,recommended_selection_score,recommended_selection_metric,recommended_bias_percent,recommended_wmape_band,recommendation_quality
84510M80T11000,hurdle_random_forest,Hurdle Random Forest,5,35,110.0,55.357924143833,103.88118286053925,-54.642075856167004,94.43743896412659,68.5921800511448,73.69948652005164,30,23,35,35,True,68.5921800511448,mean_rolling_3m_wmape_percent,-49.674614414697274,50_to_70,under_70
3512052S10000,recent_mean_6,Recent Mean 6m,9,162,471.0,318.0,308.33333333333337,-153.0,65.46355272469923,71.13167898278193,64.49579831932773,160,133,162,144,True,71.13167898278193,mean_rolling_3m_wmape_percent,-32.48407643312102,70_to_100,under_100
7171152S005PK,sba_croston_tuned,SBA Croston Tuned,9,162,321.0,177.2442304125897,237.17661224810433,-143.7557695874103,73.88679509286739,73.92945562016214,75.05568960639087,160,124,162,72,True,73.92945562016214,mean_rolling_3m_wmape_percent,-44.783728843430005,70_to_100,under_100
7755078K000PG,sba_croston_tuned,SBA Croston Tuned,9,162,179.0,205.14723916177502,131.80027400901156,26.147239161775012,73.6314379938612,77.16681444121743,63.18939656949432,151,118,162,108,True,77.16681444121743,mean_rolling_3m_wmape_percent,14.607396179762576,70_to_100,under_100
82110M55T10000,recent_mean_6,Recent Mean 6m,9,153,211.0,66.00000000000001,162.33333333333331,-145.0,76.93522906793048,78.22721702317291,90.45454545454545,136,112,90,0,True,78.22721702317291,mean_rolling_3m_wmape_percent,-68.72037914691943,70_to_100,under_100
83940M55T010PG,boosted_sba_hybrid,Boosted SBA Hybrid,9,162,616.0,200.0959908312925,484.9619333903223,-415.9040091687075,78.72758658933803,79.86783927359514,78.99738113517692,149,132,144,108,True,79.86783927359514,mean_rolling_3m_wmape_percent,-67.51688460530966,70_to_100,under_100
3658354P01000,tsb,TSB,9,162,210.0,256.82762419221393,157.4167954620727,46.827624192214,74.9603787914632,81.11355667158898,67.20267166750946,150,111,162,162,True,81.11355667158898,mean_rolling_3m_wmape_percent,22.298868662959052,70_to_100,under_100
68002M74L31000,sba_croston,SBA Croston,9,162,213.0,97.93483322057912,169.43890032624446,-115.06516677942089,79.54877949588942,81.37167460752025,76.11672278338943,161,115,162,0,True,81.37167460752025,mean_rolling_3m_wmape_percent,-54.02120506076098,70_to_100,under_100
35910M74L01000,sba_croston,SBA Croston,9,162,171.0,119.27265539977401,149.6310411353096,-51.72734460022602,87.50353282766643,81.50850854105656,78.47631106890366,136,94,162,0,True,81.50850854105656,mean_rolling_3m_wmape_percent,-30.24990912293919,70_to_100,under_100
71750M55T30C48,recent_mean_6,Recent Mean 6m,9,159,327.0,111.00000000000003,261.33333333333337,-216.0,79.9184505606524,82.0194202742904,87.5,154,122,108,54,True,82.0194202742904,mean_rolling_3m_wmape_percent,-66.05504587155963,70_to_100,under_100
