model,external_mode,eval_month,month_num,wmape,evaluation_rows,unique_skus,base_total_forecast,external_total_forecast,scale_factor,correction_rows
amazon/chronos-2,erratic_features_plus_external,2024-10-01,1,70.02157478494046,380,380,1423.4848409891129,,1.0,380
amazon/chronos-2,erratic_features_plus_external,2024-11-01,2,65.36967406930154,381,381,1193.1230752766132,,1.0,761
amazon/chronos-2,erratic_features_plus_external,2024-12-01,3,58.350022465932064,381,381,1280.7689984440804,,1.0,1142
amazon/chronos-2,erratic_features_plus_external,2025-01-01,4,44.70731120913556,381,381,1361.416310697794,,1.0,1523
amazon/chronos-2,erratic_features_plus_external,2025-02-01,5,48.20375473843013,382,382,1281.4914643764496,,1.0,1905
amazon/chronos-2,erratic_features_plus_external,2025-03-01,6,48.29918328904621,384,384,1275.5733858048916,,1.0,2289
amazon/chronos-2,erratic_features_plus_external,2025-04-01,7,36.34931768588886,391,391,1266.3222580850124,,1.0,2680
amazon/chronos-2,erratic_features_plus_external,2025-05-01,8,32.326576832118384,394,394,1245.738075017929,,1.0,3074
amazon/chronos-2,erratic_features_plus_external,2025-06-01,9,38.5684639743932,396,396,1249.3346472978592,,1.0,3470
amazon/chronos-2,erratic_features_plus_external,2025-07-01,10,32.94352341418379,396,396,1288.9607416391373,,1.0,3866
amazon/chronos-2,erratic_features_plus_external,2025-08-01,11,37.00025659088886,396,396,1360.4429134130478,,1.0,4262
amazon/chronos-2,erratic_features_plus_external,2025-09-01,12,41.409336227704785,396,396,1326.8826050460339,,1.0,4658
amazon/chronos-2,erratic_features_plus_external,2025-10-01,13,34.577013264895676,396,396,1201.0606303215027,,1.0,5054
amazon/chronos-2,erratic_features_plus_external,2025-11-01,14,36.392117375493285,396,396,1114.6777114868164,,1.0,5450
amazon/chronos-2,erratic_features_plus_external,2025-12-01,15,31.309596815711398,396,396,1316.5555465966463,,1.0,5846
amazon/chronos-2,erratic_features_plus_external,2026-01-01,16,32.14168734213057,396,396,1506.3454619050026,,1.0,6242
amazon/chronos-2,erratic_features_plus_external,2026-02-01,17,34.07947601681917,396,396,1278.7139683067799,,1.0,6638
amazon/chronos-2,erratic_features_plus_external,2026-03-01,18,68.6390310752187,396,396,1366.5348349809647,,1.0,7034
amazon/chronos-2,erratic_features_plus_external,2026-04-01,19,32.32494963577015,396,396,1334.371556699276,,1.0,7430
